Title,Artist,Rank,Peak Position,Last Position,Weeks
"Shameless","The Weeknd",99,79,79,2
"The Night Is Still Young","Nicki Minaj",100,31,98,17
"Hey Mama","David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",43,8,35,24
"Roots","Imagine Dragons",77,77,0,1
"Losers","The Weeknd Featuring Labrinth",85,85,0,1
"Young & Crazy","Frankie Ballard",90,55,71,15
"Jet Black Heart","5 Seconds Of Summer",95,95,0,1
"B**** Better Have My Money","Rihanna",45,15,45,23
"Love Me Like You Do","Ellie Goulding",48,3,46,34
"Nasty Freestyle","T-Wayne",58,9,52,20
"Straight Outta Compton","N.W.A",61,38,38,2
"Boyz-N-The Hood","Eazy-E",65,50,50,2
"Be Real","Kid Ink Featuring DeJ Loaf",72,43,63,20
"Sangria","Blake Shelton",81,38,82,20
"Kiss You In The Morning","Michael Ray",85,55,76,14
"One Hell Of An Amen","Brantley Gilbert",95,44,91,18
"High By The Beach","Lana Del Rey",97,51,65,3
"I'm To Blame","Kip Moore",100,100,0,1
"Talking Body","Tove Lo",49,12,44,30
"Like A Wrecking Ball","Eric Church",54,51,53,22
"Wet Dreamz","J. Cole",89,61,86,20
"Tonight Looks Good On You","Jason Aldean",93,46,79,18
"Fun","Pitbull Featuring Chris Brown",96,40,74,15
"How Many Times","DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",99,68,91,15
"Fly Away","5 Seconds Of Summer",100,100,0,1
"You Know You Like It","DJ Snake & AlunaGeorge",43,13,40,21
"If Only","Dove Cameron",94,94,99,2
"Commas","Future",95,55,86,20
"100 Grandkids","Mac Miller",100,100,0,1
"Take Your Time","Sam Hunt",45,20,37,32
"Slow Motion","Trey Songz",49,26,39,26
"Charged Up","Drake",78,78,0,1
"Love You Like That","Canaan Smith",84,46,69,20
"This Summer's Gonna Hurt...","Maroon 5",93,23,73,13
"Crushin' It","Brad Paisley",97,66,86,15
"The Matrimony","Wale Featuring Usher",98,70,88,19
"Good Thing","Sage The Gemini Featuring Nick Jonas",100,75,83,8
"Girl Crush","Little Big Town",42,18,36,24
"Elastic Heart","Sia",44,17,41,30
"Shake It Off","Taylor Swift",50,1,47,50
"No Sleeep","Janet Featuring J. Cole",63,63,0,2
"Fire N Gold","Bea Miller",78,78,0,1
"Love Me Like You Mean It","Kelsea Ballerini",87,45,76,18
"Bright","Echosmith",92,40,80,20
"Kings Never Die","Eminem Featuring Gwen Stefani",96,80,0,2
"Yoga","Janelle Monae & Jidenna",97,79,87,6
"Back It Up","Prince Royce Featuring Jennifer Lopez & Pitbull",98,92,0,2
"Like I Can","Sam Smith",99,99,0,2
"Baby Be My Love Song","Easton Corbin",92,56,72,16
"Sippin' On Fire","Florida Georgia Line",94,40,85,20
"Blow A Bag","Future",95,95,0,1
"Tear In My Heart","twenty one pilots",96,82,95,8
"Dance Like We're Making Love","Ciara",100,100,0,1
"Somebody","Natalie La Rose Featuring Jeremih",43,10,49,26
"Style","Taylor Swift",48,6,48,32
"Don't It","Billy Currington",82,44,87,20
"Little Toy Guns","Carrie Underwood",86,47,73,18
"I Really Like You","Carly Rae Jepsen",93,39,92,20
"Lord Knows","Meek Mill",96,88,88,2
"Jump Out The Face","Meek Mill Featuring Future",98,91,91,2
"Hood Go Crazy","Tech N9Ne Featuring 2 Chainz & B.o.B",99,90,93,7
"G.D.F.R.","Flo Rida Featuring Sage The Gemini & Lookas",47,8,47,35
"Love Is Your Name","Steven Tyler",75,75,0,1
"Bad For You","Meek Mill Featuring Nicki Minaj",78,78,96,2
"Diamond Rings And Old Barstools","Tim McGraw With Catherine Dunn",83,55,74,17
"Smoke","A Thousand Horses",94,47,92,20
"Brother","NEEDTOBREATHE Featuring Gavin DeGraw",98,98,100,2
"Budapest","George Ezra",49,32,36,23
"Blank Space","Taylor Swift",50,1,45,36
"Coffee","Miguel",89,78,0,3
"Know Yourself","Drake",94,53,87,20
"Flashlight","Jessie J",95,61,88,7
"Dear Future Husband","Meghan Trainor",46,14,35,24
"One Last Time","Ariana Grande",63,13,59,20
"Energy","Drake",82,26,79,20
"Wild Child","Kenny Chesney With Grace Potter",89,56,67,15
"I Need Your Love","Shaggy Featuring Mohombi, Faydee, Costi",92,66,78,8
"B**** I'm Madonna","Madonna Featuring Nicki Minaj",95,84,84,2
"Pretty Girls","Britney Spears & Iggy Azalea",97,29,81,8
"Check","Young Thug",100,100,0,1
"Blessings","Big Sean Featuring Drake",48,28,46,20
"Lay Me Down","Sam Smith",77,8,75,20
"Sparks","Hilary Duff",93,93,0,1
"Believe","Mumford & Sons",94,31,91,15
"I Don't Get Tired (#IDGT)","Kevin Gates Featuring August Alsina",96,90,96,9
"Flicka Da Wrist","Chedda Da Connect",98,94,0,4
"Nasty","Bandit Gang Marco Featuring Dro",99,41,88,9
"Time Of Our Lives","Pitbull & Ne-Yo",50,9,48,27
"Chains","Nick Jonas",54,13,43,20
"3500","Travi$ Scott Featuring Future & 2 Chainz",82,82,0,1
"All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",93,15,91,15
"I Want You To Know","Zedd Featuring Selena Gomez",95,17,93,16
"L$D","A$AP Rocky",98,62,84,3
"Everyday","A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson",99,92,92,2
"Phenomenal","Eminem",47,47,0,1
"Ulay, Oh","How I Became The Bomb",58,58,0,1
"Truffle Butter","Nicki Minaj Featuring Drake & Lil Wayne",65,14,60,20
"FourFiveSeconds","Rihanna & Kanye West & Paul McCartney",76,4,75,20
"Electric Body","A$AP Rocky Featuring ScHoolboy Q",97,80,80,2
"You Changed Me","Jamie Foxx Featuring Chris Brown",98,93,93,2
"Get Low","Dillon Francis & DJ Snake",100,61,0,9
"All About That Bass","Meghan Trainor",49,1,47,47
"Homegrown","Zac Brown Band",67,35,67,20
"Heartbeat Song","Kelly Clarkson",72,21,71,20
"I Bet","Ciara",88,43,86,14
"King Kunta","Kendrick Lamar",98,58,90,11
"Raise 'Em Up","Keith Urban Featuring Eric Church",99,56,84,14
"Please","Sawyer Fredericks",37,37,0,1
"Feeling Myself","Nicki Minaj Featuring Beyonce",39,39,0,20
"Take Me To Church","Hozier",48,2,39,41
"Ayo","Chris Brown & Tyga",59,21,51,20
"Old Man","Sawyer Fredericks",63,63,0,1
"Change My Mind","Meghan Linsey",92,92,0,1
"She Don't Love You","Eric Paslay",93,77,91,12
"Games","Luke Bryan",99,92,98,5
"Throw Sum Mo","Rae Sremmurd Featuring Nicki Minaj & Young Thug",44,30,36,20
"I'm Not The Only One","Sam Smith",50,5,42,37
"A Guy Walks Into A Bar","Tyler Farr",52,51,51,20
"Geronimo","Sheppard",54,53,55,21
"Say You Do","Dierks Bentley",80,52,66,18
"Nothing Without Love","Nate Ruess",87,77,94,4
"Beautiful Life","Nick Fradiani",93,93,0,1
"A Thousand Years","Sawyer Fredericks",94,94,0,1
"Lips Are Movin","Meghan Trainor",48,4,42,29
"Ain't Worth The Whiskey","Cole Swindell",90,43,86,19
"Nobody Love","Tori Kelly",95,60,60,11
"American Oxygen","Rihanna",97,78,91,4
"Shine On","Sawyer Fredericks",99,99,0,1
"10 Bands","Drake",100,58,92,13
"Centuries","Fall Out Boy",49,10,47,34
"Simple Man","Sawyer Fredericks",71,71,0,1
"Infinity","Mariah Carey",82,82,0,1
"Legend","Drake",95,52,94,12
"Hallelujah","Panic! At The Disco",40,40,0,1
"I Don't Mind","Usher Featuring Juicy J",48,11,47,23
"Riptide","Vance Joy",50,30,42,44
"Drinking Class","Lee Brice",53,53,56,22
"Outside","Calvin Harris Featuring Ellie Goulding",62,29,51,20
"Little Red Wagon","Miranda Lambert",69,55,72,11
"Make It Rain","Koryn Hawthorne",84,84,0,1
"Ride Out","Kid Ink, Tyga, Wale, YG & Rich Homie Quan",97,70,84,3
"Trouble","Iggy Azalea Featuring Jennifer Hudson",98,67,83,5
"Iris","Sawyer Fredericks",100,100,0,1
"Only","Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",48,12,41,25
"Jealous","Nick Jonas",49,7,48,32
"Stay With Me","Sam Smith",50,2,49,54
"Lonely Eyes","Chris Young",78,50,64,18
"Bills","LunchMoney Lewis",79,79,88,6
"Prayer In C","Lillywood & Robin Schulz",81,23,74,20
"Imagine","Sawyer Fredericks",98,98,0,1
"House Of The Rising Sun","Kimberly Nichole",100,100,0,1
"I Don't F**k With You","Big Sean Featuring E-40",50,11,43,29
"7/11","Beyonce",51,13,49,20
"Homegrown Honey","Darius Rucker",81,53,62,20
"Go Hard Or Go Home","Wiz Khalifa & Iggy Azalea",86,86,0,2
"Immortals","Fall Out Boy",92,72,92,8
"Good Lovin","Ludacris Featuring Miguel",97,91,91,2
"Goodbye","Who Is Fancy",98,98,0,1
"Animals","Maroon 5",47,3,42,33
"Night Changes","One Direction",50,31,43,20
"She Knows","Ne-Yo Featuring Juicy J",55,19,46,20
"I Bet My Life","Imagine Dragons",58,28,54,22
"CoCo","O.T. Genasis",79,20,71,20
"Apparently","J. Cole",99,58,83,16
"I See You","Luke Bryan",100,41,97,19
"Failure","Breaking Benjamin",80,80,0,1
"Lonely Tonight","Blake Shelton Featuring Ashley Monroe",88,47,80,17
"Baby Blue","Action Bronson Featuring Chance The Rapper",91,91,0,1
"Just Gettin' Started","Jason Aldean",94,54,70,18
"Make Me Wanna","Thomas Rhett",95,43,89,20
"Chandelier","Sia",46,8,47,46
"No Type","Rae Sremmurd",49,16,50,26
"The Blacker The Berry","Kendrick Lamar",66,66,0,1
"Mean To Me","Brett Eldredge",68,53,53,20
"Fairly Local","twenty one pilots",84,84,0,1
"The Heart Wants What It Wants","Selena Gomez",86,6,82,20
"You're So Beautiful","Empire Cast Featuring Jussie Smollett & Yazz",88,47,70,4
"Wesley's Theory","Kendrick Lamar Featuring George Clinton & Thundercat",91,91,0,1
"I Lived","OneRepublic",92,32,89,17
"These Walls","Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",94,94,0,1
"Institutionalized","Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",99,99,0,1
"The Hanging Tree","James Newton Howard Featuring Jennifer Lawrence",100,12,73,17
"Ghost","Ella Henderson",44,21,34,20
"Masterpiece","Jessie J",85,65,0,3
"Conqueror","Empire Cast Featuring Estelle & Jussie Smollett",86,42,42,2
"What We Ain't Got","Jake Owen",91,89,89,11
"Love Me Harder","Ariana Grande & The Weeknd",49,7,41,22
"New Romantics","Taylor Swift",71,71,0,1
"Sun Daze","Florida Georgia Line",81,44,69,20
"Like A Cowboy","Randy Houser",82,62,65,14
"Talladega","Eric Church",90,43,86,20
"Adore","Cashmere Cat Featuring Ariana Grande",93,93,0,1
"Monster","Meek Mill",96,96,0,1
"Sledgehammer","Fifth Harmony",98,40,91,15
"Try Me","DeJ Loaf",99,45,96,20
"Not For Long","B.o.B Featuring Trey Songz",100,80,95,9
"Glory","Common & John Legend",49,49,99,3
"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj",50,3,40,31
"First Kiss","Kid Rock",66,66,0,1
"Often","The Weeknd",68,59,69,20
"All Your Fault","Big Sean Featuring Kanye West",80,80,0,1
"You Are In Love","Taylor Swift",83,83,0,1
"Stuck On A Feeling","Prince Royce Featuring Snoop Dogg",88,43,75,10
"Only One","Kanye West Featuring Paul McCartney",92,35,74,8
"Paradise","Big Sean",99,99,0,1
"No Tellin'","Drake",100,81,81,2
"Tuesday","I LOVE MAKONNEN Featuring Drake",49,12,40,22
"Habits (Stay High)","Tove Lo",50,3,47,39
"Wonderland","Taylor Swift",51,51,0,1
"Preach","Drake Featuring PARTYNEXTDOOR",82,82,85,2
"6 God","Drake",83,83,0,1
"Used To","Drake Featuring Lil Wayne",84,84,91,2
"Take It On Back","Chase Bryant",85,82,83,8
"What Kind Of Man","Florence + The Machine",88,88,100,2
"Shots","Imagine Dragons",89,75,98,3
"The Body","Wale Featuring Jeremih",91,87,89,6
"Now & Forever","Drake",95,95,0,1
"6 Man","Drake",97,97,0,1
"Don't","Ed Sheeran",38,9,43,36
"Heroes (We Could Be)","Alesso Featuring Tove Lo",62,31,56,20
"Something In The Water","Carrie Underwood",79,24,74,20
"Shotgun Rider","Tim McGraw",84,38,82,20
"Where You Belong","The Weeknd",95,95,0,1
"I Put A Spell On You","Annie Lennox",97,97,0,1
"Keep Your Money","Empire Cast Featuring Jussie Smollett",99,99,0,1
"Work It","Missy 'Misdemeanor' Elliott",35,2,0,26
"Get Ur Freak On","Missy 'Misdemeanor' Elliott",40,7,0,25
"Waves","Mr. Probz",46,14,39,25
"Body Language","Kid Ink Featuring Usher & Tinashe",85,72,94,18
"Beg For It","Iggy Azalea Featuring M0",91,27,83,16
"L.A.LOVE (la la)","Fergie",92,27,84,18
"A Little Too Much","Shawn Mendes",94,94,0,1
"God Made Girls","RaeLynn",95,61,78,16
"Hotel","Kid Ink Featuring Chris Brown",96,96,0,1
"***Flawless","Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie",97,41,100,20
"Out The Speakers","A-Trak + Milo & Otis Featuring Rich Kidz",98,98,0,1
"I Mean It","G-Eazy Featuring Remo",99,98,98,4
"Rude","MAGIC!",44,1,45,41
"All About It","Hoodie Allen Featuring Ed Sheeran",71,71,76,4
"Til It's Gone","Kenny Chesney",86,60,69,14
"Dangerous","David Guetta Featuring Sam Martin",87,56,97,15
"Can't Stop Dancin'","Becky G",88,88,95,3
"Perfect Storm","Brad Paisley",93,52,78,17
"Steal My Girl","One Direction",99,13,84,18
"Don't Tell 'Em","Jeremih Featuring YG",47,6,39,31
"Black Widow","Iggy Azalea Featuring Rita Ora",48,3,44,30
"Blame","Calvin Harris Featuring John Newman",50,19,40,20
"Hot Boy","Bobby Shmurda",34,6,29,25
"Touchin, Lovin","Trey Songz Featuring Nicki Minaj",62,43,58,20
"Hold You Down","DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",68,39,60,20
"No Love","August Alsina",97,69,91,18
"Stolen Dance","Milky Chance",43,39,45,25
"Rather Be","Clean Bandit Featuring Jess Glynne",46,10,44,31
"Somewhere In My Car","Keith Urban",84,49,79,20
"Close Your Eyes","Parmalee",86,69,74,16
"Best Friends","Sophia Grace",87,87,0,1
"Blank Space","I Prevail",90,90,0,1
"Neon Light","Blake Shelton",99,43,89,20
"Trumpets","Jason Derulo",40,14,30,32
"Anaconda","Nicki Minaj",48,2,48,22
"Lifestyle","Rich Gang Featuring Young Thug & Rich Homie Quan",50,16,42,25
"Try","Colbie Caillat",65,55,66,20
"Something Big","Shawn Mendes",80,80,92,3
"In Your Arms","Nico & Vinz",85,72,79,12
"Bed Of Lies","Nicki Minaj Featuring Skylar Grey",91,62,80,6
"Yellow Flicker Beat","Lorde",94,34,90,9
"Santa Tell Me","Ariana Grande",50,42,42,5
"Mary, Did You Know?","Pentatonix",67,26,58,6
"Burnin' Up","Jessie J Featuring 2 Chainz",87,86,0,6
"Break The Rules","Charli XCX",91,91,94,3
"Bad B*tch","French Montana Featuring Jeremih",95,95,0,1
"Shell Shocked","Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",99,84,0,3
"Title","Meghan Trainor",100,100,0,1
"Wasted Love","Matt McAndrew",14,14,0,1
"My Baby's Got A Smile On Her Face","Craig Wayne Boyd",34,34,0,1
"All I Want For Christmas Is You","Mariah Carey",35,21,40,10
"Velvet","Chris Jamison",53,53,0,1
"About The Money","T.I. Featuring Young Thug",56,42,50,20
"Lost Without U","Chris Jamison & Adam Levine",63,63,0,1
"Soldier","Damien",74,74,0,1
"Lost Stars","Matt McAndrew & Adam Levine",83,83,0,1
"Girl In A Country Song","Maddie & Tae",84,54,62,20
"Get On Your Knees","Nicki Minaj Featuring Ariana Grande",88,88,0,1
"Fireball","Pitbull Featuring John Ryan",96,23,88,20
"Cool Kids","Echosmith",46,13,39,23
"New Flame","Chris Brown Featuring Usher & Rick Ross",49,27,47,22
"Make It Rain","Ed Sheeran",56,34,34,2
"The Old Rugged Cross","Craig Wayne Boyd",59,59,0,1
"No Flex Zone","Rae Sremmurd",66,36,66,20
"Make It Rain","Matt McAndrew",81,81,0,1
"Have Yourself A Merry Little Christmas","Sam Smith",90,90,0,1
"Come Join The Murder","The White Buffalo & The Forest Rangers",93,93,0,1
"When I Was Your Man","Chris Jamison",98,98,0,1
"The Blower's Daughter","Matt McAndrew",40,40,0,1
"0 To 100 / The Catch Up","Drake",64,35,63,20
"Burnin' It Down","Jason Aldean",79,12,74,20
"Look At You","Big & Rich",81,73,76,14
"Day Drinking","Little Big Town",82,40,66,20
"Feelin' It","Scotty McCreery",86,84,87,11
"i","Kendrick Lamar",96,39,80,11
"Royals","Taylor John Williams",100,100,0,1
"Break Free","Ariana Grande Featuring Zedd",42,4,42,22
"Fancy","Iggy Azalea Featuring Charli XCX",44,1,48,39
"Guts Over Fear","Eminem Featuring Sia",70,22,0,3
"Booty","Jennifer Lopez Featuring Iggy Azalea Or Pitbull",75,18,94,9
"I Walk The Line","Craig Wayne Boyd",84,84,0,1
"This Is How We Do","Katy Perry",95,24,91,18
"Baby Don't Lie","Gwen Stefani",98,46,83,6
"Roller Coaster","Luke Bryan",100,43,93,20
"All Of Me","John Legend",43,1,36,59
"Bailando","Enrique Iglesias Featuring Descemer Bueno & Gente de Zona",46,12,44,30
"Boom Clap","Charli XCX",49,8,47,25
"Happy","Pharrell Williams",50,1,37,47
"Do They Know It's Christmas? (2014)","Band Aid 30",63,63,0,1
"Sunshine & Whiskey","Frankie Ballard",67,57,60,20
"Baby It's Cold Outside","Idina Menzel Duet With Michael Buble",78,78,0,1
"Dirt","Florida Georgia Line",79,11,67,20
"Good Girls","5 Seconds Of Summer",85,34,0,2
"Take Me To Church","Matt McAndrew",92,92,0,1
"Stockholm Syndrome","One Direction",99,99,0,1
"You And Your Friends","Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign",100,82,91,10
"Am I Wrong","Nico & Vinz",40,4,36,31
"Maps","Maroon 5",42,6,39,22
"Leave The Night On","Sam Hunt",48,30,38,21
"Amnesia","5 Seconds Of Summer",72,16,67,20
"18","One Direction",87,87,0,1
"Where Do Broken Hearts Go","One Direction",88,88,0,1
"Handsome And Wealthy","Migos",90,79,88,8
"Bobby Bitch","Bobby Shmurda",92,92,94,3
"Superheroes","The Script",93,73,82,9
"Made Me","Snootie Wild Featuring K Camp",96,93,93,3
"Ready To Run","One Direction",77,77,0,1
"Secrets","Mary Lambert",91,66,78,10
"Latch","Disclosure Featuring Sam Smith",45,7,43,33
"No Mediocre","T.I. Featuring Iggy Azalea",68,33,56,20
"Welcome To New York","Taylor Swift",69,48,48,2
"I Won't Let You Down","OK Go",71,71,0,1
"American Kids","Kenny Chesney",85,23,69,20
"Hope You Get Lonely Tonight","Cole Swindell",98,50,87,20
"A Sky Full Of Stars","Coldplay",44,10,37,26
"Small Town Throwdown","Brantley Gilbert Featuring Justin Moore & Thomas Rhett",70,67,72,20
"Out Of The Woods","Taylor Swift",77,18,18,2
"Hideaway","Kiesza",86,51,0,14
"Hookah","Tyga Featuring Young Thug",94,85,95,11
"Fight Night","Migos",99,69,92,16
"U Guessed It","OG Maco Featuring 2 Chainz",100,90,94,4
"2 On","Tinashe Featuring ScHoolboy Q",43,24,36,24
"Problem","Ariana Grande Featuring Iggy Azalea",44,2,40,25
"Dark Horse","Katy Perry Featuring Juicy J",49,1,43,57
"Ready Set Roll","Chase Rice",58,54,57,21
"Shower","Becky G",61,16,55,20
"V. 3005","Childish Gambino",66,64,64,20
"Studio","ScHoolboy Q Featuring BJ The Chicago Kid",68,38,63,20
"EW!","Jimmy Fallon Featuring will.i.am",89,26,26,2
"I'm Not Gonna Miss You","Glen Campbell",90,90,0,1
"Bo$$","Fifth Harmony",98,43,91,15
"The Days","Avicii",78,78,0,1
"Believe Me","Lil Wayne Featuring Drake",87,26,81,20
"24 Hours","TeeFLii Featuring 2 Chainz",96,85,90,7
"Errrbody","Yo Gotti",98,98,0,1
"Later On","The Swon Brothers",99,86,91,9
"Counting Stars","OneRepublic",50,2,47,68
"Somethin' Bad","Miranda Lambert Duet With Carrie Underwood",60,19,57,20
"Bartender","Lady Antebellum",63,31,60,20
"Bumpin' The Night","Florida Georgia Line",69,69,0,1
"Really Don't Care","Demi Lovato Featuring Cher Lloyd",93,26,78,18
"Walk Thru","Rich Homie Quan Featuring Problem",98,74,89,7
"Meanwhile Back At Mama's","Tim McGraw Featuring Faith Hill",100,41,83,19
"Drunk On A Plane","Dierks Bentley",71,27,65,20
"Angel In Blue Jeans","Train",94,79,79,3
"Bend Ova","Lil Jon Featuring Tyga",97,92,97,3
"Left Hand Free","alt-J",99,99,0,1
"Main Chick","Kid Ink Featuring Chris Brown",100,60,93,20
"Loyal","Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga",46,9,47,36
"Where It's At (Yep, Yep)","Dustin Lynch",48,42,42,20
"Wiggle","Jason Derulo Featuring Snoop Dogg",49,5,51,21
"Love Runs Out","OneRepublic",61,15,54,20
"Pills N Potions","Nicki Minaj",89,24,73,18
"Dust","Eli Young Band",96,79,82,9
"X","Chris Brown",98,98,0,1
"Foreign","Trey Songz",100,84,0,10
"All About That Bass","Meghan Trainor",1,1,1,12
"Shake It Off","Taylor Swift",2,1,2,6
"Anaconda","Nicki Minaj",3,2,4,8
"Black Widow","Iggy Azalea Featuring Rita Ora",4,4,5,13
"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj",5,3,3,9
"Stay With Me","Sam Smith",6,2,6,25
"Habits (Stay High)","Tove Lo",7,7,13,18
"Break Free","Ariana Grande Featuring Zedd",8,4,7,13
"Don't Tell 'Em","Jeremih Featuring YG",9,9,10,14
"Rather Be","Clean Bandit Featuring Jess Glynne",10,10,11,16
"Boom Clap","Charli XCX",11,8,8,17
"Chandelier","Sia",12,8,9,21
"Rude","MAGIC!",13,1,12,23
"Hot Boy","Bobby Shmurda",14,14,16,9
"Maps","Maroon 5",15,6,14,15
"Bailando","Enrique Iglesias Featuring Descemer Bueno & Gente de Zona",16,12,15,22
"Don't","Ed Sheeran",17,17,22,16
"Am I Wrong","Nico & Vinz",18,4,17,24
"Burnin' It Down","Jason Aldean",19,12,21,10
"Cool Kids","Echosmith",20,19,19,12
"A Sky Full Of Stars","Coldplay",21,10,25,22
"Fancy","Iggy Azalea Featuring Charli XCX",22,1,20,30
"Dirt","Florida Georgia Line",23,11,28,12
"Amnesia","5 Seconds Of Summer",24,16,37,13
"This Is How We Do","Katy Perry",25,24,26,9
"All Of Me","John Legend",26,1,24,51
"Trumpets","Jason Derulo",27,27,33,18
"Problem","Ariana Grande Featuring Iggy Azalea",28,2,23,22
"Lifestyle","Rich Gang Featuring Young Thug & Rich Homie Quan",29,29,30,11
"Fireball","Pitbull Featuring John Ryan",30,30,31,8
"New Flame","Chris Brown Featuring Usher & Rick Ross",31,27,27,11
"Happy","Pharrell Williams",32,1,29,39
"Animals","Maroon 5",33,33,51,6
"American Kids","Kenny Chesney",34,23,40,15
"0 To 100 / The Catch Up","Drake",35,35,35,10
"2 On","Tinashe Featuring ScHoolboy Q",36,24,34,21
"Latch","Disclosure Featuring Sam Smith",37,7,32,28
"Blame","Calvin Harris Featuring John Newman",38,31,36,3
"i","Kendrick Lamar",39,39,0,1
"No Flex Zone","Rae Sremmurd",40,36,38,9
"No Mediocre","T.I. Featuring Iggy Azalea",41,33,41,15
"Leave The Night On","Sam Hunt",42,42,42,14
"Waves","Mr. Probz",43,43,52,6
"Roller Coaster","Luke Bryan",44,43,44,11
"Booty","Jennifer Lopez Featuring Iggy Azalea Or Pitbull",45,18,18,2
"Dark Horse","Katy Perry Featuring Juicy J",46,1,43,54
"Counting Stars","OneRepublic",47,2,47,67
"Shower","Becky G",48,16,39,17
